mmsi,longitude,latitude,sog_now,sog_prev,delta_sog,distance_nm,time_gap_hours,implied_speed_knots,cog,base_date_time,dbscan_behavior_label
368124360,-122.55793,48.6064,7.9,7.9,0.0,0.0,0.0,0.0,186.5,2025-06-30 00:00:00,0
368196410,-90.19752,28.76208,10.2,10.2,0.0,0.0,0.0,0.0,354.3,2025-06-30 00:00:00,0
367561730,-90.20918,29.11037,9.2,9.2,0.0,0.15394438918672523,0.0,0.0,186.7,2025-06-30 00:00:01,0
367340990,-82.72931,41.54567,0.0,0.0,0.0,0.0,0.0,0.0,347.0,2025-06-30 00:00:00,0
636019179,-94.58273,29.33358,0.0,0.0,0.0,0.0,0.0,0.0,186.9,2025-06-30 00:00:01,0
338519831,-121.89126,36.60377,0.1,0.1,0.0,0.0,0.0,0.0,345.3,2025-06-30 00:00:00,0
338382000,-74.69676,39.15717,0.0,0.0,0.0,0.0,0.0,0.0,357.0,2025-06-30 00:00:00,0
338244674,-75.69962,35.21188,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
366982320,-122.43238,47.26257,0.0,0.0,0.0,0.0,0.0,0.0,345.9,2025-06-30 00:00:00,0
538007446,-73.3135,40.25385,0.3,0.3,0.0,0.0,0.0,0.0,121.1,2025-06-30 00:00:02,0
367579000,-126.50548,49.18895,7.9,7.9,0.0,0.0,0.0,0.0,313.8,2025-06-30 00:00:00,0
367705210,-95.00504,29.68531,0.0,0.0,0.0,0.0,0.0,0.0,281.2,2025-06-30 00:00:02,0
368092840,-90.65445,30.04845,5.3,5.3,0.0,0.0890732230113323,0.0,0.0,276.0,2025-06-30 00:00:01,0
367592590,-64.79575,18.33138,0.1,0.1,0.0,0.0,0.0,0.0,59.5,2025-06-30 00:00:01,0
367513230,-122.84055,45.98996,0.3,0.3,0.0,0.0,0.0,0.0,33.4,2025-06-30 00:00:01,0
367624350,-92.18877,29.78123,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
367670110,-89.91741,29.62964,6.8,6.8,0.0,0.0,0.0,0.0,128.2,2025-06-30 00:00:01,0
367389640,-122.41113,37.8091,0.2,0.2,0.0,0.0,0.0,0.0,105.7,2025-06-30 00:00:01,0
366979360,-122.77028,45.5875,0.0,0.0,0.0,0.0,0.0002777777777777778,0.0,,2025-06-30 00:00:01,0
367443840,-95.07058,29.79042,0.0,0.0,0.0,0.0,0.0,0.0,40.3,2025-06-30 00:00:00,0
366823870,-90.00588,29.81681,0.1,0.1,0.0,0.0,0.0,0.0,24.4,2025-06-30 00:00:01,0
368248960,-74.04437,40.66161,0.0,0.0,0.0,0.0,0.0,0.0,101.6,2025-06-30 00:00:01,0
316003527,-123.1891,49.12379,0.0,0.0,0.0,0.0,0.0,0.0,244.9,2025-06-30 00:00:00,0
366972260,-95.91909,28.70758,6.6,6.6,0.0,0.0,0.0,0.0,68.1,2025-06-30 00:00:01,0
367766260,-74.15586,40.6388,0.0,0.0,0.0,0.0,0.0,0.0,274.2,2025-06-30 00:00:02,0
538004199,-77.63211,32.4942,15.7,15.7,0.0,0.0,0.0,0.0,46.1,2025-06-30 00:00:01,0
255915947,-94.47185,29.28483,0.0,0.0,0.0,0.0,0.0,0.0,83.0,2025-06-30 00:00:02,0
367548170,-94.05641,30.06177,0.0,0.0,0.0,0.0,0.0,0.0,276.3,2025-06-30 00:00:00,0
354215000,-76.43452,38.5913,16.8,16.8,0.0,0.0,0.0,0.0,186.1,2025-06-30 00:00:01,0
366866750,-76.40902,36.96233,0.0,0.0,0.0,0.0,0.0,0.0,314.8,2025-06-30 00:00:00,0
636014943,-117.22112,24.66269,13.0,13.0,0.0,0.0,0.0,0.0,301.5,2025-06-30 00:00:00,0
366951000,-123.76905,46.2075,0.1,0.1,0.0,0.0,0.0,0.0,356.0,2025-06-30 00:00:00,0
367797450,-84.54966,39.09963,0.0,0.0,0.0,0.0,0.0,0.0,353.3,2025-06-30 00:00:00,0
338364000,-95.09118,29.78448,0.0,0.0,0.0,0.0,0.0,0.0,252.3,2025-06-30 00:00:00,0
367743660,-91.19299,30.46713,0.0,0.0,0.0,0.0,0.0,0.0,217.7,2025-06-30 00:00:00,0
367366340,-90.89573,30.06288,1.0,1.0,0.0,0.0,0.0,0.0,91.9,2025-06-30 00:00:00,0
316039572,-123.27325,49.33069,7.0,7.0,0.0,0.0,0.0,0.0,138.0,2025-06-30 00:00:01,0
367439810,-95.02788,29.61292,0.0,0.0,0.0,0.0,0.0,0.0,186.1,2025-06-30 00:00:00,0
367127110,-95.06027,29.79989,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2025-06-30 00:00:00,0
563160100,-80.61924,31.94393,13.1,13.1,0.0,0.0,0.0,0.0,282.4,2025-06-30 00:00:01,0
367726790,-73.80593,40.45382,0.5,0.5,0.0,0.0,0.0,0.0,54.0,2025-06-30 00:00:02,0
368129650,-90.23626,29.96697,0.0,0.0,0.0,0.0006004046073034574,0.0,0.0,251.9,2025-06-30 00:00:00,0
316041971,-123.06053,49.29012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06-30 00:00:00,0
368031260,-88.80444,29.2436,1.9,1.9,0.0,0.0,0.0,0.0,98.6,2025-06-30 00:00:00,0
367778010,-97.17335,27.82209,0.3,0.3,0.0,0.0,0.0,0.0,333.8,2025-06-30 00:00:00,0
367732440,-118.06755,33.71834,0.0,0.0,0.0,0.0,0.0,0.0,41.6,2025-06-30 00:00:02,0
367032830,-95.52623,28.283,0.0,0.0,0.0,0.0,0.0,0.0,162.8,2025-06-30 00:00:01,0
367386890,-90.00553,29.94621,0.1,0.1,0.0,0.0018748408860570255,0.0,0.0,285.7,2025-06-30 00:00:01,0
368294050,-70.09736,41.18912,3.1,3.1,0.0,0.0,0.0,0.0,88.1,2025-06-30 00:00:00,0
413941000,-122.61092,30.70608,11.5,11.5,0.0,0.0,0.0,0.0,127.8,2025-06-30 00:00:01,0
368076880,-74.02317,40.75059,0.2,0.2,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
367441140,-117.2264,32.72286,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
367456350,-90.06096,35.20944,0.0,0.0,0.0,0.0,0.0,0.0,274.1,2025-06-30 00:00:00,0
338102043,-123.17267,48.60369,0.1,0.1,0.0,0.0,0.0,0.0,29.4,2025-06-30 00:00:00,0
303589000,-89.25491,29.15883,4.3,5.0,-0.7000000000000002,0.08122402917381824,0.0,0.0,178.6,2025-06-30 00:00:00,0
367787650,-89.98717,29.93325,4.9,5.0,-0.09999999999999964,0.08292226269433732,0.0,0.0,301.7,2025-06-30 00:00:01,0
316040458,-122.90598,49.32349,0.1,0.1,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
304304000,-64.95047,18.33433,0.0,0.0,0.0,0.0,0.0,0.0,123.6,2025-06-30 00:00:00,0
316042213,-123.71622,49.34884,26.3,26.3,0.0,0.0,0.0,0.0,194.2,2025-06-30 00:00:00,0
367544960,-97.41269,27.81203,0.0,0.0,0.0,0.0,0.0,0.0,238.7,2025-06-30 00:00:01,0
367594230,-93.95382,29.79625,0.1,0.1,0.0,0.0,0.0,0.0,78.7,2025-06-30 00:00:00,0
367320160,-88.11222,30.53269,0.0,0.0,0.0,0.0,0.0,0.0,264.5,2025-06-30 00:00:00,0
367025330,-117.22667,32.72307,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
319026600,-80.11966,26.10165,0.0,0.0,0.0,0.0,0.0,0.0,46.3,2025-06-30 00:00:01,0
367511590,-82.94015,41.89045,8.6,8.6,0.0,0.0,0.0,0.0,94.5,2025-06-30 00:00:00,0
367550490,-87.95455,31.11167,4.2,4.2,0.0,0.0,0.0,0.0,45.7,2025-06-30 00:00:01,0
366968740,-89.32271,29.25879,23.1,23.1,0.0,0.3856404340961408,0.0,0.0,311.6,2025-06-30 00:00:00,0
366983110,-89.98307,29.8509,0.0,0.1,-0.1,0.0,0.0,0.0,157.3,2025-06-30 00:00:01,0
367702150,-91.63248,31.00548,8.5,8.5,0.0,0.0,0.0,0.0,251.2,2025-06-30 00:00:01,0
367709350,-97.07826,27.98975,0.0,0.0,0.0,0.0,0.0,0.0,80.3,2025-06-30 00:00:01,0
636014805,-97.23977,27.8107,12.9,12.9,0.0,0.0,0.0,0.0,268.1,2025-06-30 00:00:01,0
367120040,-76.41557,36.97145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06-30 00:00:00,0
338471000,-76.49346,37.23817,3.2,3.2,0.0,0.0,0.0,0.0,294.0,2025-06-30 00:00:00,0
367183530,-92.58593,29.55969,2.9,2.9,0.0,0.0,0.0,0.0,294.6,2025-06-30 00:00:01,0
367468270,-90.19633,29.14043,0.0,0.0,0.0,0.0015943553112093137,0.0,0.0,160.9,2025-06-30 00:00:01,0
338325676,-122.68019,48.49181,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
347016450,-118.19183,33.76095,0.0,0.0,0.0,0.0,0.0,0.0,93.3,2025-06-30 00:00:01,0
338526571,-82.46404,27.11218,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
367085710,-93.93315,29.86769,0.0,0.0,0.0,0.0,0.0,0.0,195.6,2025-06-30 00:00:02,0
367340460,-95.11235,29.76234,0.0,0.0,0.0,0.0,0.0,0.0,136.4,2025-06-30 00:00:01,0
378293000,-74.04226,40.64948,5.2,5.2,0.0,0.0,0.0,0.0,14.4,2025-06-30 00:00:00,0
367153950,-89.96726,28.9908,0.4,0.4,0.0,0.0,0.0,0.0,56.4,2025-06-30 00:00:02,0
367374990,-90.01623,29.94563,1.2,5.8,-4.6,0.06752907742758604,0.0,0.0,172.3,2025-06-30 00:00:01,0
366963250,-90.19828,29.92235,7.0,6.6,0.40000000000000036,0.11284281967775382,0.0002777777777777778,406.23415083991375,70.0,2025-06-30 00:00:01,-1
367300490,-66.08952,18.44794,0.1,0.1,0.0,0.0,0.0,0.0,355.8,2025-06-30 00:00:01,0
367053160,-94.85468,29.27741,0.0,0.0,0.0,0.0,0.0,0.0,271.5,2025-06-30 00:00:00,0
368578000,-124.66506,43.51583,6.6,6.6,0.0,0.0,0.0,0.0,34.5,2025-06-30 00:00:01,0
366999388,-90.11627,35.07253,0.0,0.0,0.0,0.0,0.0,0.0,340.9,2025-06-30 00:00:01,0
228452800,-74.0199,40.55141,1.1,1.2,-0.09999999999999987,0.000600404607090151,0.0,0.0,157.6,2025-06-30 00:00:01,0
316023339,-82.42182,43.00151,10.1,10.1,0.0,0.0,0.0,0.0,208.1,2025-06-30 00:00:00,0
367755350,-70.09288,41.28463,0.1,0.1,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
367448570,-95.083,29.78715,0.0,0.0,0.0,0.0,0.0,0.0,224.9,2025-06-30 00:00:00,0
367144820,-90.70066,29.54567,0.1,0.1,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
367673340,-89.98733,29.93446,0.0,0.0,0.0,0.0012014034121407982,0.0,0.0,257.6,2025-06-30 00:00:01,0
367108910,-88.56401,30.36813,7.8,7.8,0.0,0.0,0.0,0.0,193.5,2025-06-30 00:00:01,0
368077830,-90.58546,29.57666,3.9,3.9,0.0,0.0,0.0,0.0,297.9,2025-06-30 00:00:02,0
367761740,-94.77955,29.35993,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
367328790,-90.08074,29.90001,0.0,0.0,0.0,0.0,0.0,0.0,90.1,2025-06-30 00:00:01,0
366982270,-76.35013,36.89772,0.0,0.0,0.0,0.0,0.0,0.0,311.0,2025-06-30 00:00:02,0
538070349,-80.13588,26.05923,0.0,0.0,0.0,0.0,0.0,0.0,190.4,2025-06-30 00:00:00,0
368148180,-95.09808,29.78286,0.0,0.0,0.0,0.0,0.0,0.0,341.7,2025-06-30 00:00:01,0
367116420,-91.6952,31.0213,0.0,0.0,0.0,0.0,0.0,0.0,294.0,2025-06-30 00:00:02,0
367347000,-123.38504,46.19946,0.0,0.0,0.0,0.0,0.0,0.0,314.2,2025-06-30 00:00:00,0
356423000,-90.95696,27.74893,14.9,14.9,0.0,0.0,0.0,0.0,292.8,2025-06-30 00:00:02,0
368036520,-91.55948,30.91345,9.3,9.3,0.0,0.0,0.0,0.0,92.0,2025-06-30 00:00:00,0
367597350,-90.27107,29.9654,0.0,0.0,0.0,0.0,0.0,0.0,143.9,2025-06-30 00:00:00,0
355708000,-80.87881,30.46169,15.3,15.3,0.0,0.0,0.0,0.0,55.2,2025-06-30 00:00:02,0
367537710,-95.9549,28.6916,0.8,0.8,0.0,0.0,0.0,0.0,55.3,2025-06-30 00:00:00,0
367362710,-90.53717,30.0492,0.0,0.0,0.0,0.0006004046073034574,0.0,0.0,81.7,2025-06-30 00:00:00,0
538008882,-125.18248,43.78723,10.0,10.0,0.0,0.0,0.0,0.0,358.8,2025-06-30 00:00:00,0
366766940,-74.83248,37.21745,9.6,9.6,0.0,0.0,0.0,0.0,181.5,2025-06-30 00:00:00,0
367079070,-92.01069,29.21538,0.0,0.0,0.0,0.0,0.0,0.0,338.2,2025-06-30 00:00:00,0
636017740,-117.87632,26.88833,10.6,10.6,0.0,0.0,0.0,0.0,140.2,2025-06-30 00:00:00,0
367570920,-89.8839,29.6143,0.0,0.0,0.0,0.0012008092146069147,0.0,0.0,108.5,2025-06-30 00:00:01,0
366971360,-89.43219,47.32809,13.4,13.4,0.0,0.0,0.0,0.0,258.7,2025-06-30 00:00:01,0
367341280,-122.35762,48.0099,8.2,8.2,0.0,0.0,0.0,0.0,339.7,2025-06-30 00:00:00,0
338493129,-117.8851,33.60616,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
367653290,-95.04095,29.70684,0.0,0.0,0.0,0.0,0.0,0.0,218.6,2025-06-30 00:00:01,0
367669280,-89.11399,29.32473,3.1,3.1,0.0,0.0,0.0,0.0,136.2,2025-06-30 00:00:01,0
338084305,-118.27995,33.72327,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:02,0
338003759,-122.6078,48.51313,0.1,0.1,0.0,0.0,0.0,0.0,349.2,2025-06-30 00:00:02,0
367121000,-123.53681,48.29297,13.1,13.1,0.0,0.0,0.0,0.0,176.3,2025-06-30 00:00:00,0
367702130,-90.17929,38.65027,10.0,10.0,0.0,0.0,0.0,0.0,176.5,2025-06-30 00:00:00,0
338523926,-117.7013,33.4617,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
367580820,-72.51586,40.80508,7.7,7.7,0.0,0.0,0.0,0.0,64.7,2025-06-30 00:00:00,0
338458468,-118.50289,33.45096,0.1,0.1,0.0,0.0,0.0,0.0,43.5,2025-06-30 00:00:01,0
368047580,-95.09355,29.75788,0.0,0.0,0.0,0.0,0.0,0.0,228.7,2025-06-30 00:00:01,0
368254630,-89.92713,29.43763,0.0,0.0,0.0,0.0006004046073034574,0.0,0.0,,2025-06-30 00:00:01,0
338389881,-70.88684,42.25896,1.9,1.9,0.0,0.0,0.0,0.0,119.4,2025-06-30 00:00:00,0
367516730,-122.92928,46.08967,0.0,0.0,0.0,0.0,0.0,0.0,300.9,2025-06-30 00:00:01,0
338364358,-80.68985,28.37236,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
368002660,-122.45195,47.28698,5.0,5.0,0.0,0.0,0.0,0.0,144.3,2025-06-30 00:00:00,0
368421930,-80.05481,26.83275,0.3,0.3,0.0,0.0,0.0,0.0,256.3,2025-06-30 00:00:01,0
368399790,-117.19294,32.72645,0.1,0.1,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
338367115,-70.92522,41.42563,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
368405410,-118.27828,33.72102,0.7,0.7,0.0,0.0,0.0,0.0,0.0,2025-06-30 00:00:00,0
338390164,-118.26343,33.71786,9.6,9.6,0.0,0.0,0.0,0.0,305.9,2025-06-30 00:00:01,0
338455096,-74.06927,39.98914,0.1,0.1,0.0,0.0,0.0,0.0,269.4,2025-06-30 00:00:00,0
368391060,-93.85848,29.96665,0.0,0.0,0.0,0.0,0.0,0.0,273.7,2025-06-30 00:00:01,0
338103012,-122.37955,37.67439,0.0,0.0,0.0,0.0,0.0,0.0,17.7,2025-06-30 00:00:01,0
338046328,-80.0403,26.78032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06-30 00:00:01,0
338205064,-71.32619,41.48947,0.0,0.0,0.0,0.0,0.0,0.0,95.5,2025-06-30 00:00:02,0
338236435,-122.96963,48.46328,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:02,0
316035167,-123.35577,48.93022,3.9,3.9,0.0,0.0,0.0,0.0,340.2,2025-06-30 00:00:02,0
368264920,-95.03643,29.54539,0.0,0.0,0.0,0.0,0.0,0.0,203.7,2025-06-30 00:00:00,0
338205511,-70.59572,41.46418,0.0,0.0,0.0,0.0,0.0,0.0,30.5,2025-06-30 00:00:01,0
369262000,-91.92211,27.90923,10.8,10.8,0.0,0.0,0.0,0.0,266.0,2025-06-30 00:00:00,0
316047555,-123.86935,49.17844,9.7,9.7,0.0,0.0,0.0,0.0,78.3,2025-06-30 00:00:00,0
367338460,-75.56283,36.79487,1.3,1.3,0.0,0.0,0.0,0.0,16.9,2025-06-30 00:00:00,0
338435014,-81.10209,32.09322,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
368203810,-123.77459,49.02799,0.3,0.3,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
368111580,-74.00106,40.58637,3.8,3.8,0.0,0.0,0.0,0.0,106.6,2025-06-30 00:00:00,0
368057320,-76.18184,36.92226,0.0,0.0,0.0,0.0,0.0,0.0,316.9,2025-06-30 00:00:01,0
538071622,-80.13941,25.93854,0.0,0.0,0.0,0.0,0.0,0.0,313.1,2025-06-30 00:00:00,0
368185000,-89.90972,29.61934,0.0,0.0,0.0,0.0010438972545136044,0.0,0.0,271.5,2025-06-30 00:00:01,0
338453152,-71.44723,41.68324,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
941215544,-72.28319,39.37281,0.9,0.9,0.0,0.0,0.0,0.0,289.0,2025-06-30 00:00:00,0
368032780,-90.87015,30.06597,0.0,0.0,0.0,0.0,0.0,0.0,253.4,2025-06-30 00:00:00,0
338489677,-76.60777,39.28291,0.0,0.0,0.0,0.0,0.0,0.0,18.7,2025-06-30 00:00:00,0
367773660,-95.02002,29.54375,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2025-06-30 00:00:02,0
338384211,-76.47913,38.96737,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
367742760,-122.99431,48.73305,27.6,27.6,0.0,0.0,0.0,0.0,1.1,2025-06-30 00:00:00,0
338336807,-118.3534,33.64987,5.6,5.6,0.0,0.0,0.0,0.0,66.7,2025-06-30 00:00:00,0
338338025,-86.32742,43.22933,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:02,0
367777450,-92.30072,29.57722,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:00,0
366811580,-76.34053,36.90323,0.0,0.0,0.0,0.0,0.0,0.0,282.6,2025-06-30 00:00:01,0
367338290,-122.40597,37.81703,10.1,10.1,0.0,0.0,0.0,0.0,319.3,2025-06-30 00:00:01,0
366983140,-90.33474,29.93665,0.0,0.0,0.0,0.001040594496535092,0.0,0.0,71.8,2025-06-30 00:00:01,0
368051000,-90.21142,29.14598,0.0,0.0,0.0,0.0007971590403147862,0.0,0.0,168.8,2025-06-30 00:00:00,0
368174480,-90.41035,29.98812,3.0,4.8,-1.7999999999999998,0.07600202895245688,0.0,0.0,312.7,2025-06-30 00:00:01,0
563203400,-67.22762,19.63605,13.5,13.5,0.0,0.0,0.0,0.0,90.4,2025-06-30 00:00:01,0
368396110,-80.13963,25.93602,0.1,0.1,0.0,0.0,0.0,0.0,,2025-06-30 00:00:02,0
538006780,-85.1704,47.0653,14.0,14.0,0.0,0.0,0.0,0.0,315.6,2025-06-30 00:00:01,0
367156350,-91.83218,29.30325,0.4,0.4,0.0,0.0,0.0,0.0,359.7,2025-06-30 00:00:00,0
368169720,-76.49193,38.97302,0.0,0.0,0.0,0.0,0.0,0.0,169.5,2025-06-30 00:00:01,0
338459932,-121.56794,38.10477,1.4,1.4,0.0,0.0,0.0,0.0,66.4,2025-06-30 00:00:01,0
338398495,-122.31535,47.64338,0.0,0.0,0.0,0.0,0.0,0.0,188.9,2025-06-30 00:00:01,0
319134200,-117.22428,32.71983,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
249011000,-80.64439,31.18288,11.3,11.3,0.0,0.0,0.0,0.0,219.0,2025-06-30 00:00:00,0
338068956,-121.37799,37.97686,0.0,0.0,0.0,0.0,0.0,0.0,52.3,2025-06-30 00:00:00,0
338360808,-76.31707,38.83946,17.8,17.8,0.0,0.0,0.0,0.0,233.1,2025-06-30 00:00:01,0
368352590,-91.04629,29.62298,5.2,5.2,0.0,0.0,0.0,0.0,257.8,2025-06-30 00:00:00,0
368161980,-76.23541,38.96245,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-30 00:00:01,0
